"country","date","confirmed","deaths","recovered","Latitude","Longitude","Continent","fatal_rate","text","confirmed_daily","deaths_daily","mon_yr"
"Albania",2020-02-01,0,0,0,41.153332,20.168331,"Europe",0,"<b>Albania</b><br>Confirmed: <b>0.0</b><br>Death: <b>0.0</b><br>Fatality Ratio: <b>0.0%</b><br>",0,0,"2020-02"
"Albania",2020-03-01,0,0,0,41.153332,20.168331,"Europe",0,"<b>Albania</b><br>Confirmed: <b>0.0</b><br>Death: <b>0.0</b><br>Fatality Ratio: <b>0.0%</b><br>",0,0,"2020-03"
"Albania",2020-04-01,259,15,67,41.153332,20.168331,"Europe",0.0579150579150579,"<b>Albania</b><br>Confirmed: <b>259.0</b><br>Death: <b>15.0</b><br>Fatality Ratio: <b>5.8%</b><br>",16,0,"2020-04"
"Albania",2020-05-01,782,31,488,41.153332,20.168331,"Europe",0.0396419437340153,"<b>Albania</b><br>Confirmed: <b>782.0</b><br>Death: <b>31.0</b><br>Fatality Ratio: <b>4.0%</b><br>",9,0,"2020-05"
"Albania",2020-06-01,1143,33,877,41.153332,20.168331,"Europe",0.0288713910761155,"<b>Albania</b><br>Confirmed: <b>1.1K</b><br>Death: <b>33.0</b><br>Fatality Ratio: <b>2.9%</b><br>",6,0,"2020-06"
"Albania",2020-07-01,2580,65,1516,41.153332,20.168331,"Europe",0.0251937984496124,"<b>Albania</b><br>Confirmed: <b>2.6K</b><br>Death: <b>65.0</b><br>Fatality Ratio: <b>2.5%</b><br>",45,3,"2020-07"
"Albania",2020-08-01,5396,161,2961,41.153332,20.168331,"Europe",0.0298369162342476,"<b>Albania</b><br>Confirmed: <b>5.4K</b><br>Death: <b>161.0</b><br>Fatality Ratio: <b>3.0%</b><br>",120,4,"2020-08"
"Albania",2020-09-01,9606,290,5441,41.153332,20.168331,"Europe",0.0301894649177597,"<b>Albania</b><br>Confirmed: <b>9.6K</b><br>Death: <b>290.0</b><br>Fatality Ratio: <b>3.0%</b><br>",93,6,"2020-09"
"Albania",2020-10-01,13806,388,8077,41.153332,20.168331,"Europe",0.0281037230189773,"<b>Albania</b><br>Confirmed: <b>13.8K</b><br>Death: <b>388.0</b><br>Fatality Ratio: <b>2.8%</b><br>",157,1,"2020-10"
"Albania",2020-11-01,21202,518,11246,41.153332,20.168331,"Europe",0.0244316573908122,"<b>Albania</b><br>Confirmed: <b>21.2K</b><br>Death: <b>518.0</b><br>Fatality Ratio: <b>2.4%</b><br>",327,9,"2020-11"
"Albania",2020-12-01,39014,822,19384,41.153332,20.168331,"Europe",0.0210693597170247,"<b>Albania</b><br>Confirmed: <b>39.0K</b><br>Death: <b>822.0</b><br>Fatality Ratio: <b>2.1%</b><br>",832,12,"2020-12"
"Albania",2021-01-01,58316,1181,33634,41.153332,20.168331,"Europe",0.020251731943206,"<b>Albania</b><br>Confirmed: <b>58.3K</b><br>Death: <b>1.2K</b><br>Fatality Ratio: <b>2.0%</b><br>",0,0,"2021-01"
"Albania",2021-02-01,78992,1393,47922,41.153332,20.168331,"Europe",0.017634697184525,"<b>Albania</b><br>Confirmed: <b>79.0K</b><br>Death: <b>1.4K</b><br>Fatality Ratio: <b>1.8%</b><br>",865,13,"2021-02"
"Albania",2021-03-01,107931,1816,70413,41.153332,20.168331,"Europe",0.016825564481011,"<b>Albania</b><br>Confirmed: <b>107.9K</b><br>Death: <b>1.8K</b><br>Fatality Ratio: <b>1.7%</b><br>",764,20,"2021-03"
"Albania",2021-04-01,125506,2241,91875,41.153332,20.168331,"Europe",0.0178557200452568,"<b>Albania</b><br>Confirmed: <b>125.5K</b><br>Death: <b>2.2K</b><br>Fatality Ratio: <b>1.8%</b><br>",349,6,"2021-04"
"Albania",2021-05-01,131185,2396,110172,41.153332,20.168331,"Europe",0.0182642832640927,"<b>Albania</b><br>Confirmed: <b>131.2K</b><br>Death: <b>2.4K</b><br>Fatality Ratio: <b>1.8%</b><br>",100,2,"2021-05"
"Albania",2021-06-01,132337,2451,129473,41.153332,20.168331,"Europe",0.0185208974058653,"<b>Albania</b><br>Confirmed: <b>132.3K</b><br>Death: <b>2.5K</b><br>Fatality Ratio: <b>1.9%</b><br>",22,0,"2021-06"
"Albania",2021-07-01,132523,2456,130014,41.153332,20.168331,"Europe",0.018532632071414,"<b>Albania</b><br>Confirmed: <b>132.5K</b><br>Death: <b>2.5K</b><br>Fatality Ratio: <b>1.9%</b><br>",2,0,"2021-07"
"Albania",2021-08-01,133121,2457,130243,41.153332,20.168331,"Europe",0.0184568926014678,"<b>Albania</b><br>Confirmed: <b>133.1K</b><br>Death: <b>2.5K</b><br>Fatality Ratio: <b>1.8%</b><br>",40,0,"2021-08"
"Albania",2021-09-01,147369,2501,0,41.153332,20.168331,"Europe",0.016971004756767,"<b>Albania</b><br>Confirmed: <b>147.4K</b><br>Death: <b>2.5K</b><br>Fatality Ratio: <b>1.7%</b><br>",982,3,"2021-09"
"Andorra",2020-02-01,0,0,0,42.546245,1.601554,"Europe",0,"<b>Andorra</b><br>Confirmed: <b>0.0</b><br>Death: <b>0.0</b><br>Fatality Ratio: <b>0.0%</b><br>",0,0,"2020-02"
"Andorra",2020-03-01,0,0,0,42.546245,1.601554,"Europe",0,"<b>Andorra</b><br>Confirmed: <b>0.0</b><br>Death: <b>0.0</b><br>Fatality Ratio: <b>0.0%</b><br>",0,0,"2020-03"
"Andorra",2020-04-01,390,14,10,42.546245,1.601554,"Europe",0.0358974358974359,"<b>Andorra</b><br>Confirmed: <b>390.0</b><br>Death: <b>14.0</b><br>Fatality Ratio: <b>3.6%</b><br>",14,2,"2020-04"
"Andorra",2020-05-01,745,43,468,42.546245,1.601554,"Europe",0.0577181208053691,"<b>Andorra</b><br>Confirmed: <b>745.0</b><br>Death: <b>43.0</b><br>Fatality Ratio: <b>5.8%</b><br>",0,1,"2020-05"
"Andorra",2020-06-01,765,51,698,42.546245,1.601554,"Europe",0.0666666666666667,"<b>Andorra</b><br>Confirmed: <b>765.0</b><br>Death: <b>51.0</b><br>Fatality Ratio: <b>6.7%</b><br>",1,0,"2020-06"
"Andorra",2020-07-01,855,52,799,42.546245,1.601554,"Europe",0.0608187134502924,"<b>Andorra</b><br>Confirmed: <b>855.0</b><br>Death: <b>52.0</b><br>Fatality Ratio: <b>6.1%</b><br>",0,0,"2020-07"
"Andorra",2020-08-01,925,52,807,42.546245,1.601554,"Europe",0.0562162162162162,"<b>Andorra</b><br>Confirmed: <b>925.0</b><br>Death: <b>52.0</b><br>Fatality Ratio: <b>5.6%</b><br>",0,0,"2020-08"
"Andorra",2020-09-01,1184,53,908,42.546245,1.601554,"Europe",0.0447635135135135,"<b>Andorra</b><br>Confirmed: <b>1.2K</b><br>Death: <b>53.0</b><br>Fatality Ratio: <b>4.5%</b><br>",8,0,"2020-09"
"Andorra",2020-10-01,2050,53,1432,42.546245,1.601554,"Europe",0.0258536585365854,"<b>Andorra</b><br>Confirmed: <b>2.0K</b><br>Death: <b>53.0</b><br>Fatality Ratio: <b>2.6%</b><br>",0,0,"2020-10"
"Andorra",2020-11-01,4825,75,3475,42.546245,1.601554,"Europe",0.0155440414507772,"<b>Andorra</b><br>Confirmed: <b>4.8K</b><br>Death: <b>75.0</b><br>Fatality Ratio: <b>1.6%</b><br>",69,0,"2020-11"
"Andorra",2020-12-01,6790,76,5940,42.546245,1.601554,"Europe",0.0111929307805596,"<b>Andorra</b><br>Confirmed: <b>6.8K</b><br>Death: <b>76.0</b><br>Fatality Ratio: <b>1.1%</b><br>",45,0,"2020-12"
"Andorra",2021-01-01,8117,84,7463,42.546245,1.601554,"Europe",0.0103486509794259,"<b>Andorra</b><br>Confirmed: <b>8.1K</b><br>Death: <b>84.0</b><br>Fatality Ratio: <b>1.0%</b><br>",68,0,"2021-01"
"Andorra",2021-02-01,9972,101,9206,42.546245,1.601554,"Europe",0.0101283594063377,"<b>Andorra</b><br>Confirmed: <b>10.0K</b><br>Death: <b>101.0</b><br>Fatality Ratio: <b>1.0%</b><br>",35,0,"2021-02"
"Andorra",2021-03-01,10889,110,10475,42.546245,1.601554,"Europe",0.0101019377353292,"<b>Andorra</b><br>Confirmed: <b>10.9K</b><br>Death: <b>110.0</b><br>Fatality Ratio: <b>1.0%</b><br>",23,0,"2021-03"
"Andorra",2021-04-01,12053,115,11365,42.546245,1.601554,"Europe",0.00954119306396748,"<b>Andorra</b><br>Confirmed: <b>12.1K</b><br>Death: <b>115.0</b><br>Fatality Ratio: <b>1.0%</b><br>",43,0,"2021-04"
"Andorra",2021-05-01,13232,125,12684,42.546245,1.601554,"Europe",0.00944679564691657,"<b>Andorra</b><br>Confirmed: <b>13.2K</b><br>Death: <b>125.0</b><br>Fatality Ratio: <b>0.9%</b><br>",0,0,"2021-05"
"Andorra",2021-06-01,13729,127,13479,42.546245,1.601554,"Europe",0.0092504916599898,"<b>Andorra</b><br>Confirmed: <b>13.7K</b><br>Death: <b>127.0</b><br>Fatality Ratio: <b>0.9%</b><br>",2,0,"2021-06"
"Andorra",2021-07-01,13918,127,13721,42.546245,1.601554,"Europe",0.00912487426354361,"<b>Andorra</b><br>Confirmed: <b>13.9K</b><br>Death: <b>127.0</b><br>Fatality Ratio: <b>0.9%</b><br>",7,0,"2021-07"
"Andorra",2021-08-01,14678,128,14210,42.546245,1.601554,"Europe",0.00872053413271563,"<b>Andorra</b><br>Confirmed: <b>14.7K</b><br>Death: <b>128.0</b><br>Fatality Ratio: <b>0.9%</b><br>",0,0,"2021-08"
"Andorra",2021-09-01,15046,130,0,42.546245,1.601554,"Europe",0.00864017014488901,"<b>Andorra</b><br>Confirmed: <b>15.0K</b><br>Death: <b>130.0</b><br>Fatality Ratio: <b>0.9%</b><br>",13,0,"2021-09"
"Austria",2020-02-01,0,0,0,47.516231,14.550072,"Europe",0,"<b>Austria</b><br>Confirmed: <b>0.0</b><br>Death: <b>0.0</b><br>Fatality Ratio: <b>0.0%</b><br>",0,0,"2020-02"
"Austria",2020-03-01,14,0,0,47.516231,14.550072,"Europe",0,"<b>Austria</b><br>Confirmed: <b>14.0</b><br>Death: <b>0.0</b><br>Fatality Ratio: <b>0.0%</b><br>",5,0,"2020-03"
"Austria",2020-04-01,10711,146,1436,47.516231,14.550072,"Europe",0.0136308467930165,"<b>Austria</b><br>Confirmed: <b>10.7K</b><br>Death: <b>146.0</b><br>Fatality Ratio: <b>1.4%</b><br>",531,18,"2020-04"
"Austria",2020-05-01,15531,589,13110,47.516231,14.550072,"Europe",0.0379241516966068,"<b>Austria</b><br>Confirmed: <b>15.5K</b><br>Death: <b>589.0</b><br>Fatality Ratio: <b>3.8%</b><br>",79,5,"2020-05"
